"id","espn_id","type","abv","full_name","short_name","division","conference","primary","secondary","logo","head_coach","offensive_coordinator","defensive_coordinator","twitter","website","venue"
"ARI53217","22","NFL","ARI","Arizona Cardinals","Cardinals","West","NFC","#A40227","#FFFFFF","https://a.espncdn.com/i/teamlogos/nfl/500/ari.png","Jonathan Gannon","Drew Petzing","Nick Rallis","@AZCardinals","https://www.azcardinals.com/","State Farm Stadium"
"ATL48250","1","NFL","ATL","Atlanta Falcons","Falcons","South","NFC","#A71930","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/atl.png","Raheem Morris","Zac Robinson","Jeff Ulbrich","@AtlantaFalcons","https://www.atlantafalcons.com/","Mercedes-Benz Stadium"
"BAL23182","33","NFL","BAL","Baltimore Ravens","Ravens","North","AFC","#29126F","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/bal.png","John Harbaugh","Todd Monken","Zach Orr","@ravens","https://www.baltimoreravens.com/","M&T Bank Stadium"
"BUF46900","2","NFL","BUF","Buffalo Bills","Bills","East","AFC","#00338D","#D50A0A","https://a.espncdn.com/i/teamlogos/nfl/500/buf.png","Sean McDermott","Joe Brady","Bobby Babich","@buffalobills","https://www.buffalobills.com/","Highmark Stadium"
"CAR16728","29","NFL","CAR","Carolina Panthers","Panthers","South","NFC","#0085CA","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/car.png","Dave Canales","Brad Idzik","Ejiro Evero","@Panthers","https://www.panthers.com/","Bank of America Stadium"
"CHI40559","3","NFL","CHI","Chicago Bears","Bears","North","NFC","#0B1C3A","#E64100","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","Ben Johnson","Declan Doyle","Dennis Allen","@ChicagoBears","https://www.chicagobears.com/","Soldier Field"
"CIN40655","4","NFL","CIN","Cincinnati Bengals","Bengals","North","AFC","#FB4F14","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/cin.png","Zac Taylor","Dan Pitcher","Al Golden","@Bengals","https://www.bengals.com/","Paycor Stadium"
"CLE08772","5","NFL","CLE","Cleveland Browns","Browns","North","AFC","#472A08","#FF3C00","https://a.espncdn.com/i/teamlogos/nfl/500/cle.png","Kevin Stefanski","Tommy Rees","Jim Schwartz","@Browns","https://www.clevelandbrowns.com/","Huntington Bank Field"
"DAL03472","6","NFL","DAL","Dallas Cowboys","Cowboys","East","NFC","#002A5C","#B0B7BC","https://a.espncdn.com/i/teamlogos/nfl/500/dal.png","Brian Schottenheimer","Klayton Adams","Matt Eberflus","@DallasCowboys","https://www.dallascowboys.com/","AT&T Stadium"
"DEN54475","7","NFL","DEN","Denver Broncos","Broncos","West","AFC","#0A2343","#FC4C02","https://a.espncdn.com/i/teamlogos/nfl/500/den.png","Sean Payton","Joe Lombardi","Vance Joseph","@broncos","https://www.denverbroncos.com/","Empower Field at Mile High"
"DET35825","8","NFL","DET","Detroit Lions","Lions","North","NFC","#0076B6","#BBBBBB","https://a.espncdn.com/i/teamlogos/nfl/500/det.png","Dan Campbell","John Morton","Kelvin Sheppard","@Lions","https://www.detroitlions.com/","Ford Field"
"GBX44567","9","NFL","GB","Green Bay Packers","Packers","North","NFC","#204E32","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","Matt LaFleur","Adam Stenavich","Jeff Hafley","@packers","https://www.packers.com/","Lambeau Field"
"HOU28590","34","NFL","HOU","Houston Texans","Texans","South","AFC","#00143F","#C41230","https://a.espncdn.com/i/teamlogos/nfl/500/hou.png","DeMeco Ryans","Nick Caley","Matt Burke","@HoustonTexans","https://www.houstontexans.com/","NRG Stadium"
"IND58960","11","NFL","IND","Indianapolis Colts","Colts","South","AFC","#003B75","#FFFFFF","https://a.espncdn.com/i/teamlogos/nfl/500/ind.png","Shane Steichen","Jim Bob Cooter","Lou Anarumo","@colts","https://www.colts.com/","Lucas Oil Stadium"
"JAX05821","30","NFL","JAX","Jacksonville Jaguars","Jaguars","South","AFC","#007487","#D7A22A","https://a.espncdn.com/i/teamlogos/nfl/500/jax.png","Liam Coen","Grant Udinski","Anthony Campanile","@Jaguars","https://www.jaguars.com/","EverBank Stadium"
"KCX49908","12","NFL","KC","Kansas City Chiefs","Chiefs","West","AFC","#E31837","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/kc.png","Andy Reid","Matt Nagy","Steve Spagnuolo","@Chiefs","https://www.chiefs.com/","GEHA Field at Arrowhead Stadium"
"LVX23330","13","NFL","LV","Las Vegas Raiders","Raiders","West","AFC","#000000","#A5ACAF","https://a.espncdn.com/i/teamlogos/nfl/500/lv.png","Pete Carroll","Chip Kelly","Patrick Graham","@raiders","https://www.raiders.com/","Allegiant Stadium"
"LAC35819","24","NFL","LAC","Los Angeles Chargers","Chargers","West","AFC","#0080C6","#FFC20E","https://a.espncdn.com/i/teamlogos/nfl/500/lac.png","Jim Harbaugh","Greg Roman","Jesse Minter","@Chargers","https://www.chargers.com/","SoFi Stadium"
"LAR51165","14","NFL","LAR","Los Angeles Rams","Rams","West","NFC","#003594","#FFD100","https://a.espncdn.com/i/teamlogos/nfl/500/lar.png","Sean McVay","Mike LaFleur","Chris Shula","@ramsnfl","https://www.therams.com/","SoFi Stadium"
"MIA32413","15","NFL","MIA","Miami Dolphins","Dolphins","East","AFC","#008E97","#FC4C02","https://a.espncdn.com/i/teamlogos/nfl/500/mia.png","Mike McDaniel","Frank Smith","Anthony Weaver","@MiamiDolphins","https://www.miamidolphins.com/","Hard Rock Stadium"
"MIN53312","16","NFL","MIN","Minnesota Vikings","Vikings","North","NFC","#4F2683","#FFC62F","https://a.espncdn.com/i/teamlogos/nfl/500/min.png","Kevin O'Connell","Wes Phillips","Brian Flores","@vikings","https://www.vikings.com/","U.S. Bank Stadium"
"NEX09018","17","NFL","NE","New England Patriots","Patriots","East","AFC","#002A5C","#C60C30","https://a.espncdn.com/i/teamlogos/nfl/500/ne.png","Mike Vrabel","Josh McDaniels","Terrell Williams","@patriots","https://www.patriots.com/","Gillette Stadium"
"NOX07246","18","NFL","NO","New Orleans Saints","Saints","South","NFC","#D3BC8D","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/no.png","Kellen Moore","Doug Nussmeier","Brandon Staley","@Saints","https://www.neworleanssaints.com/","Caesars Superdome"
"NYG28491","19","NFL","NYG","New York Giants","Giants","East","NFC","#003C7F","#C9243F","https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png","Brian Daboll","Mike Kafka","Shane Bowen","@giants","https://www.giants.com/","MetLife Stadium"
"NYJ21965","20","NFL","NYJ","New York Jets","Jets","East","AFC","#115740","#FFFFFF","https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png","Aaron Glenn","Tanner Engstrand","Steve Wilks","@nyjets","https://www.newyorkjets.com/","MetLife Stadium"
"PHI37772","21","NFL","PHI","Philadelphia Eagles","Eagles","East","NFC","#06424D","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/phi.png","Nick Sirianni","Kevin Patullo","Vic Fangio","@Eagles","https://www.philadelphiaeagles.com/","Lincoln Financial Field"
"PIT32225","23","NFL","PIT","Pittsburgh Steelers","Steelers","North","AFC","#000000","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/pit.png","Mike Tomlin","Arthur Smith","Teryl Austin","@steelers","https://www.steelers.com/","Acrisure Stadium"
"SFX18601","25","NFL","SF","San Francisco 49ers","49ers","West","NFC","#AA0000","#B3995D","https://a.espncdn.com/i/teamlogos/nfl/500/sf.png","Kyle Shanahan","Klay Kubiak","Robert Saleh","@49ers","https://www.49ers.com/","Levi'sÂ® Stadium"
"SEA10506","26","NFL","SEA","Seattle Seahawks","Seahawks","West","NFC","#002A5C","#69BE28","https://a.espncdn.com/i/teamlogos/nfl/500/sea.png","Mike Macdonald","Klint Kubiak","Aden Durde","@Seahawks","https://www.seahawks.com/","Lumen Field"
"TBX52882","27","NFL","TB","Tampa Bay Buccaneers","Buccaneers","South","NFC","#BD1C36","#3E3A35","https://a.espncdn.com/i/teamlogos/nfl/500/tb.png","Todd Bowles","Josh Grizzard","Todd Bowles[a]","@Buccaneers","https://www.buccaneers.com/","Raymond James Stadium"
"TEN04646","10","NFL","TEN","Tennessee Titans","Titans","South","AFC","#4B92DB","#002A5C","https://a.espncdn.com/i/teamlogos/nfl/500/ten.png","Brian Callahan","Nick Holz","Dennard Wilson","@titans","https://www.titansonline.com/","Nissan Stadium"
"WSH25304","28","NFL","WSH","Washington Commanders","Commanders","East","NFC","#5A1414","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png","Dan Quinn","Kliff Kingsbury","Joe Whitt Jr.","@commanders","https://www.commanders.com/","Northwest Stadium"
